"login_id","email","nickname","password","role"
"admin","admin@bookmate.local","관리자","qwerasdf","ADMIN"
"bookmate_system","system@bookmate.local","북메이트","qwerasdf","USER"
"user1","user1@gmail.com","크리스티아누 호날두","qwerasdf","USER"
"user2","user2@gmail.com","리오넬 메시","qwerasdf","USER"
"user3","user3@gmail.com","모하메드 살라","qwerasdf","USER"
"user4","user4@gmail.com","손흥민","qwerasdf","USER"
"user5","user5@gmail.com","케빈 더브라위너","qwerasdf","USER"
"user6","user6@gmail.com","해리 케인","qwerasdf","USER"
"user7","user7@gmail.com","세르히오 아구에로","qwerasdf","USER"
"user8","user8@gmail.com","에덴 아자르","qwerasdf","USER"
"user9","user9@gmail.com","웨인 루니","qwerasdf","USER"
"user10","user10@gmail.com","엘링 홀란","qwerasdf","USER"
"user11","user11@gmail.com","버질 반다이크","qwerasdf","USER"
"user12","user12@gmail.com","사디오 마네","qwerasdf","USER"
"user13","user13@gmail.com","리야드 마레즈","qwerasdf","USER"
"user14","user14@gmail.com","제이미 바디","qwerasdf","USER"
"user15","user15@gmail.com","은골로 캉테","qwerasdf","USER"
"user16","user16@gmail.com","다비드 실바","qwerasdf","USER"
"user17","user17@gmail.com","야야 투레","qwerasdf","USER"
"user18","user18@gmail.com","세스크 파브레가스","qwerasdf","USER"
"user19","user19@gmail.com","로빈 반페르시","qwerasdf","USER"
"user20","user20@gmail.com","가레스 베일","qwerasdf","USER"
"user21","user21@gmail.com","루이스 수아레스","qwerasdf","USER"
"user22","user22@gmail.com","디디에 드로그바","qwerasdf","USER"
"user23","user23@gmail.com","프랭크 램파드","qwerasdf","USER"
"user24","user24@gmail.com","스티븐 제라드","qwerasdf","USER"
"user25","user25@gmail.com","존 테리","qwerasdf","USER"
"user26","user26@gmail.com","리오 퍼디난드","qwerasdf","USER"
"user27","user27@gmail.com","페트르 체흐","qwerasdf","USER"
"user28","user28@gmail.com","다비드 데헤아","qwerasdf","USER"
"user29","user29@gmail.com","알리송 베케르","qwerasdf","USER"
"user30","user30@gmail.com","에데르송 모라이스","qwerasdf","USER"
"user31","user31@gmail.com","티보 쿠르투아","qwerasdf","USER"
"user32","user32@gmail.com","브루노 페르난데스","qwerasdf","USER"
"user33","user33@gmail.com","베르나르두 실바","qwerasdf","USER"
"user34","user34@gmail.com","로드리","qwerasdf","USER"
"user35","user35@gmail.com","필 포든","qwerasdf","USER"
"user36","user36@gmail.com","부카요 사카","qwerasdf","USER"
"user37","user37@gmail.com","콜 파머","qwerasdf","USER"
"user38","user38@gmail.com","데클런 라이스","qwerasdf","USER"
"user39","user39@gmail.com","마르틴 외데고르","qwerasdf","USER"
"user40","user40@gmail.com","라힘 스털링","qwerasdf","USER"
"user41","user41@gmail.com","마커스 래시퍼드","qwerasdf","USER"
"user42","user42@gmail.com","폴 포그바","qwerasdf","USER"
"user43","user43@gmail.com","로멜루 루카쿠","qwerasdf","USER"
"user44","user44@gmail.com","디에고 코스타","qwerasdf","USER"
"user45","user45@gmail.com","피에르에메릭 오바메양","qwerasdf","USER"
"user46","user46@gmail.com","알렉시스 산체스","qwerasdf","USER"
"user47","user47@gmail.com","메수트 외질","qwerasdf","USER"
"user48","user48@gmail.com","산티 카솔라","qwerasdf","USER"
"user49","user49@gmail.com","애런 램지","qwerasdf","USER"
"user50","user50@gmail.com","티에리 앙리","qwerasdf","USER"
"user51","user51@gmail.com","로베르트 레반도프스키","qwerasdf","USER"
"user52","user52@gmail.com","킬리안 음바페","qwerasdf","USER"
"user53","user53@gmail.com","네이마르 주니오르","qwerasdf","USER"
"user54","user54@gmail.com","루카 모드리치","qwerasdf","USER"
"user55","user55@gmail.com","카림 벤제마","qwerasdf","USER"
"user56","user56@gmail.com","토니 크로스","qwerasdf","USER"
"user57","user57@gmail.com","안드레스 이니에스타","qwerasdf","USER"
"user58","user58@gmail.com","사비 에르난데스","qwerasdf","USER"
"user59","user59@gmail.com","세르히오 라모스","qwerasdf","USER"
"user60","user60@gmail.com","마누엘 노이어","qwerasdf","USER"
"user61","user61@gmail.com","즐라탄 이브라히모비치","qwerasdf","USER"
"user62","user62@gmail.com","앙투안 그리즈만","qwerasdf","USER"
"user63","user63@gmail.com","토마스 뮐러","qwerasdf","USER"
"user64","user64@gmail.com","아르연 로번","qwerasdf","USER"
"user65","user65@gmail.com","프랑크 리베리","qwerasdf","USER"
"user66","user66@gmail.com","앙헬 디마리아","qwerasdf","USER"
"user67","user67@gmail.com","에딘손 카바니","qwerasdf","USER"
"user68","user68@gmail.com","라다멜 팔카오","qwerasdf","USER"
"user69","user69@gmail.com","후안 마타","qwerasdf","USER"
"user70","user70@gmail.com","크리스티안 에릭센","qwerasdf","USER"
"user71","user71@gmail.com","델레 알리","qwerasdf","USER"
"user72","user72@gmail.com","카일 워커","qwerasdf","USER"
"user73","user73@gmail.com","트렌트 알렉산더아놀드","qwerasdf","USER"
"user74","user74@gmail.com","앤드루 로버트슨","qwerasdf","USER"
"user75","user75@gmail.com","후벵 디아스","qwerasdf","USER"
"user76","user76@gmail.com","존 스톤스","qwerasdf","USER"
"user77","user77@gmail.com","해리 매과이어","qwerasdf","USER"
"user78","user78@gmail.com","네마냐 비디치","qwerasdf","USER"
"user79","user79@gmail.com","뱅상 콩파니","qwerasdf","USER"
"user80","user80@gmail.com","파트리크 비에이라","qwerasdf","USER"
"user81","user81@gmail.com","마이클 캐릭","qwerasdf","USER"
"user82","user82@gmail.com","파트리스 에브라","qwerasdf","USER"
"user83","user83@gmail.com","애슐리 콜","qwerasdf","USER"
"user84","user84@gmail.com","제임스 밀너","qwerasdf","USER"
"user85","user85@gmail.com","조던 헨더슨","qwerasdf","USER"
"user86","user86@gmail.com","일카이 귄도안","qwerasdf","USER"
"user87","user87@gmail.com","호베르투 피르미누","qwerasdf","USER"
"user88","user88@gmail.com","필리페 쿠티뉴","qwerasdf","USER"
"user89","user89@gmail.com","디보크 오리기","qwerasdf","USER"
"user90","user90@gmail.com","잭 그릴리시","qwerasdf","USER"
"user91","user91@gmail.com","올리 왓킨스","qwerasdf","USER"
"user92","user92@gmail.com","알렉산데르 이사크","qwerasdf","USER"
"user93","user93@gmail.com","브루누 기마랑이스","qwerasdf","USER"
"user94","user94@gmail.com","윌프리드 자하","qwerasdf","USER"
"user95","user95@gmail.com","디미트리 파예","qwerasdf","USER"
"user96","user96@gmail.com","레이턴 베인스","qwerasdf","USER"
"user97","user97@gmail.com","저메인 데포","qwerasdf","USER"
"user98","user98@gmail.com","피터 크라우치","qwerasdf","USER"
"user99","user99@gmail.com","마이클 오언","qwerasdf","USER"
"user100","user100@gmail.com","앨런 시어러","qwerasdf","USER"
